Legajo,DNI,LoginID,JobTitle,BirthDate,MaritalStatus,Gender
1,295847284,adventure-works\ken0,Chief Executive Officer,1969-01-29,S,M
2,245797967,adventure-works\terri0,Vice President of Engineering,1971-08-01,S,F
3,509647174,adventure-works\roberto0,Engineering Manager,1974-11-12,M,M
4,112457891,adventure-works\rob0,Senior Tool Designer,1974-12-23,S,M
5,695256908,adventure-works\gail0,Design Engineer,1952-09-27,M,F
6,998320692,adventure-works\jossef0,Design Engineer,1959-03-11,M,M
7,134969118,adventure-works\dylan0,Research and Development Manager,1987-02-24,M,M
8,811994146,adventure-works\diane1,Research and Development Engineer,1986-06-05,S,F
9,658797903,adventure-works\gigi0,Research and Development Engineer,1979-01-21,M,F
10,879342154,adventure-works\michael6,Research and Development Manager,1984-11-30,M,M
11,974026903,adventure-works\ovidiu0,Senior Tool Designer,1978-01-17,S,M
12,480168528,adventure-works\thierry0,Tool Designer,1959-07-29,M,M
13,486228782,adventure-works\janice0,Tool Designer,1989-05-28,M,F
14,42487730,adventure-works\michael8,Senior Design Engineer,1979-06-16,S,M
15,56920285,adventure-works\sharon0,Design Engineer,1961-05-02,M,F
16,24756624,adventure-works\david0,Marketing Manager,1975-03-19,S,M
17,253022876,adventure-works\kevin0,Marketing Assistant,1987-05-03,S,M
18,222969461,adventure-works\john5,Marketing Specialist,1978-03-06,S,M
19,52541318,adventure-works\mary2,Marketing Assistant,1978-01-29,S,F
20,323403273,adventure-works\wanida0,Marketing Assistant,1975-03-17,M,F
21,243322160,adventure-works\terry0,Marketing Specialist,1986-02-04,M,M
22,95958330,adventure-works\sariya0,Marketing Specialist,1987-05-21,S,M
23,767955365,adventure-works\mary0,Marketing Specialist,1962-09-13,M,F
24,72636981,adventure-works\jill0,Marketing Specialist,1979-06-18,M,F
25,519899904,adventure-works\james1,Vice President of Production,1983-01-07,S,M
26,277173473,adventure-works\peter0,Production Control Manager,1982-11-03,M,M
27,446466105,adventure-works\jo0,Production Supervisor - WC60,1956-10-08,S,F
28,14417807,adventure-works\guy1,Production Technician - WC60,1988-03-13,M,M
29,948320468,adventure-works\mark1,Production Technician - WC60,1979-09-25,S,M
30,410742000,adventure-works\britta0,Production Technician - WC60,1989-09-28,M,F
31,750246141,adventure-works\margie0,Production Technician - WC60,1986-05-20,M,F
32,330211482,adventure-works\rebecca0,Production Technician - WC60,1977-07-10,M,F
33,801758002,adventure-works\annik0,Production Technician - WC60,1976-12-26,M,M
34,754372876,adventure-works\suchitra0,Production Technician - WC60,1987-06-10,M,F
35,999440576,adventure-works\brandon0,Production Technician - WC60,1977-01-10,M,M
36,788456780,adventure-works\jose0,Production Technician - WC60,1984-07-31,M,M
37,442121106,adventure-works\chris2,Production Technician - WC60,1986-08-07,S,M
38,6298838,adventure-works\kim1,Production Technician - WC60,1966-12-14,M,F
39,461786517,adventure-works\ed0,Production Technician - WC60,1971-09-11,S,M
40,309738752,adventure-works\jolynn0,Production Supervisor - WC60,1956-01-16,S,F
41,458159238,adventure-works\bryan0,Production Technician - WC60,1973-08-27,S,M
42,339712426,adventure-works\james0,Production Technician - WC60,1984-07-25,M,M
43,693325305,adventure-works\nancy0,Production Technician - WC60,1988-11-19,M,F
44,276751903,adventure-works\simon0,Production Technician - WC60,1990-05-17,S,M
45,500412746,adventure-works\thomas0,Production Technician - WC60,1986-01-10,M,M
46,66073987,adventure-works\eugene1,Production Technician - WC60,1976-02-10,S,M
47,33237992,adventure-works\andrew0,Production Supervisor - WC10,1988-09-06,S,M
48,690627818,adventure-works\ruth0,Production Technician - WC10,1956-06-04,M,F
49,912265825,adventure-works\barry0,Production Technician - WC10,1956-03-26,S,M
50,844973625,adventure-works\sidney0,Production Technician - WC10,1956-08-30,M,M
51,132674823,adventure-works\jeffrey0,Production Technician - WC10,1956-07-11,S,M
52,565090917,adventure-works\doris0,Production Technician - WC10,1956-04-04,M,F
53,9659517,adventure-works\diane0,Production Technician - WC10,1956-03-29,M,F
54,109272464,adventure-works\bonnie0,Production Technician - WC10,1986-09-10,M,F
55,233069302,adventure-works\taylor0,Production Supervisor - WC50,1956-04-01,M,M
56,652535724,adventure-works\denise0,Production Technician - WC50,1988-07-06,M,F
57,10708100,adventure-works\frank1,Production Technician - WC50,1971-07-24,S,M
58,571658797,adventure-works\kendall0,Production Technician - WC50,1986-05-30,M,M
59,843479922,adventure-works\bob0,Production Technician - WC50,1979-08-16,S,M
60,827686041,adventure-works\pete0,Production Technician - WC50,1977-02-03,S,M
61,92096924,adventure-works\diane2,Production Technician - WC50,1989-08-09,S,F
62,494170342,adventure-works\john0,Production Supervisor - WC60,1956-08-07,M,M
63,414476027,adventure-works\maciej0,Production Technician - WC60,1955-01-30,S,M
64,582347317,adventure-works\michael7,Production Technician - WC60,1973-09-05,S,M
65,8066363,adventure-works\randy0,Production Technician - WC60,1970-04-28,M,M
66,834186596,adventure-works\karan0,Production Technician - WC60,1970-03-07,S,M
67,63179277,adventure-works\jay0,Production Technician - WC60,1976-02-11,S,M
68,537092325,adventure-works\charles0,Production Technician - WC60,1971-09-02,S,M
69,752513276,adventure-works\steve0,Production Technician - WC60,1991-04-06,S,M
70,36151748,adventure-works\david2,Production Technician - WC60,1984-12-29,M,M
71,578935259,adventure-works\michael3,Production Supervisor - WC30,1989-01-29,S,M
72,443968955,adventure-works\steven0,Production Technician - WC30,1977-05-14,M,M
73,138280935,adventure-works\carole0,Production Technician - WC30,1983-10-19,M,F
74,420023788,adventure-works\bjorn0,Production Technician - WC30,1989-11-06,S,M
75,363996959,adventure-works\michiko0,Production Technician - WC30,1982-06-27,S,M
76,227319668,adventure-works\carol0,Production Technician - WC30,1988-10-17,M,F
77,301435199,adventure-works\merav0,Production Technician - WC30,1983-05-13,M,F
78,370989364,adventure-works\reuben0,Production Supervisor - WC40,1987-08-27,M,M
79,697712387,adventure-works\eric1,Production Technician - WC40,1966-12-08,M,M
80,943170460,adventure-works\sandeep0,Production Technician - WC40,1970-12-03,S,M
81,413787783,adventure-works\mihail0,Production Technician - WC40,1971-03-09,S,M
82,58791499,adventure-works\jack1,Production Technician - WC40,1973-08-29,S,M
83,988315686,adventure-works\patrick1,Production Technician - WC40,1973-12-23,M,M
84,947029962,adventure-works\frank3,Production Technician - WC40,1952-03-02,M,M
85,1662732,adventure-works\brian2,Production Technician - WC40,1970-12-23,S,M
86,769680433,adventure-works\ryan0,Production Technician - WC40,1972-06-13,M,M
87,7201901,adventure-works\cristian0,Production Supervisor - WC10,1984-04-11,M,M
88,294148271,adventure-works\betsy0,Production Technician - WC10,1966-12-17,S,F
89,90888098,adventure-works\patrick0,Production Technician - WC10,1986-09-10,S,M
90,82638150,adventure-works\danielle0,Production Technician - WC10,1986-09-07,S,F
91,390124815,adventure-works\kimberly0,Production Technician - WC10,1986-09-13,S,F
92,826454897,adventure-works\tom0,Production Technician - WC10,1986-10-01,M,M
93,778552911,adventure-works\kok-ho0,Production Supervisor - WC50,1980-04-28,S,M
94,718299860,adventure-works\russell0,Production Technician - WC50,1972-11-25,M,M
95,674171828,adventure-works\jim0,Production Technician - WC50,1986-09-08,M,M
96,912141525,adventure-works\elizabeth0,Production Technician - WC50,1990-01-25,M,F
97,370581729,adventure-works\mandar0,Production Technician - WC50,1986-03-21,S,M
98,152085091,adventure-works\sameer0,Production Technician - WC50,1978-06-26,M,M
99,431859843,adventure-works\nuan0,Production Technician - WC50,1979-03-29,S,M
100,204035155,adventure-works\lolan0,Production Technician - WC50,1973-01-24,M,M
101,153288994,adventure-works\houman0,Production Technician - WC50,1971-08-30,M,M
102,360868122,adventure-works\zheng0,Production Supervisor - WC10,1983-10-26,S,M
103,455563743,adventure-works\ebru0,Production Technician - WC10,1986-09-22,S,M
104,717889520,adventure-works\mary1,Production Technician - WC10,1986-09-19,M,F
105,801365500,adventure-works\kevin2,Production Technician - WC10,1986-09-19,S,M
106,561196580,adventure-works\john4,Production Technician - WC10,1986-09-28,S,M
107,393421437,adventure-works\christopher0,Production Technician - WC10,1986-10-01,M,M
108,630184120,adventure-works\jinghao0,Production Supervisor - WC50,1989-02-05,S,M
109,113695504,adventure-works\alice0,Production Technician - WC50,1978-01-26,M,F
110,857651804,adventure-works\jun0,Production Technician - WC50,1979-07-06,S,M
111,415823523,adventure-works\suroor0,Production Technician - WC50,1978-02-25,S,M
112,981597097,adventure-works\john1,Production Technician - WC50,1978-05-31,S,M
113,54759846,adventure-works\linda0,Production Technician - WC50,1987-07-17,M,F
114,342607223,adventure-works\mindaugas0,Production Technician - WC50,1978-05-07,M,M
115,563680513,adventure-works\angela0,Production Technician - WC50,1991-05-31,S,F
116,398737566,adventure-works\michael2,Production Technician - WC50,1974-05-03,S,M
117,599942664,adventure-works\chad0,Production Technician - WC50,1990-08-04,M,M
118,222400012,adventure-works\don0,Production Technician - WC50,1971-06-13,M,M
119,334834274,adventure-works\michael4,Production Technician - WC50,1989-06-15,S,M
120,211789056,adventure-works\kitti0,Production Technician - WC50,1987-06-06,S,F
121,521265716,adventure-works\pilar0,Shipping and Receiving Supervisor,1972-09-09,S,M
122,586486572,adventure-works\susan0,Stocker,1978-02-17,S,F
123,337752649,adventure-works\vamsi0,Shipping and Receiving Clerk,1977-03-18,M,M
124,420776180,adventure-works\kim0,Stocker,1984-04-30,S,F
125,584205124,adventure-works\matthias0,Shipping and Receiving Clerk,1973-11-11,M,M
126,652779496,adventure-works\jimmy0,Stocker,1985-05-04,M,M
127,750905084,adventure-works\david4,Production Supervisor - WC40,1983-07-02,S,M
128,384162788,adventure-works\paul0,Production Technician - WC40,1980-11-13,S,M
129,502058701,adventure-works\gary0,Production Technician - WC40,1988-05-16,S,M
130,578953538,adventure-works\rob1,Production Technician - WC40,1973-08-04,S,M
131,273260055,adventure-works\baris0,Production Technician - WC40,1990-10-07,S,M
132,1300049,adventure-works\nicole0,Production Technician - WC40,1986-04-09,M,F
133,830150469,adventure-works\michael1,Production Technician - WC40,1991-01-04,S,M
134,45615666,adventure-works\eric0,Production Supervisor - WC20,1985-01-19,M,M
135,964089218,adventure-works\ivo0,Production Technician - WC20,1982-01-03,M,M
136,701156975,adventure-works\sylvester0,Production Technician - WC20,1970-11-12,M,M
137,63761469,adventure-works\anibal0,Production Technician - WC20,1974-09-05,S,F
138,25011600,adventure-works\samantha0,Production Technician - WC20,1987-11-22,M,F
139,113393530,adventure-works\hung-fu0,Production Technician - WC20,1971-10-23,S,M
140,339233463,adventure-works\prasanna0,Production Technician - WC20,1953-04-30,M,M
