ID Transacción;ID Factura;Fecha de Venta;Fecha de Envío;ID Producto;Producto;Marca;Proveedor Logistico;Latitud;Longitud;ID Vendedor;NombreVendedor;NombreApellido;Fecha de Nacimiento;Región de Ventas;ID Cliente;Cliente;País Cliente;Cantidad;Venta;Costo
24078;12548;2016-01-02;2016-01-05;428;Chaqueta de acción de superhéroe (azul) XS;Northwind;Houston;29,76328;-95,36327;121;Paula;Camino;1978-12-08;México;455;Mapuma;México;4;120;78,84
24079;12548;2016-01-02;2016-01-05;322;IT broma mug - hardware: parte de la computadora que se puede patear (Negro);Conexión TI;Omaha;41,25626;-95,94043;121;Paula;Camino;1978-12-08;México;455;Mapuma;México;10;370;206,7
24080;12548;2016-01-02;2016-01-05;380;The Gu camiseta roja etiqueta XML camiseta (Blanco) 7XL;Northwind;Houston;29,76328;-95,36327;121;Paula;Camino;1978-12-08;México;455;Mapuma;México;5;160;97,7
24081;12548;2016-01-02;2016-01-06;377;The Gu camiseta roja etiqueta XML camiseta (Blanco) 6XL;Northwind;Houston;29,76328;-95,36327;121;Paula;Camino;1978-12-08;México;455;Mapuma;México;1;32;19,37
24082;12548;2016-01-02;2016-01-06;578;Embalaje de envío (Marrón) 356x356x279mm 40 kg;Empaca Todo;Tulsa;36,15398;-95,99277;121;Paula;Camino;1978-12-08;México;455;Mapuma;México;10;130;95,8
24083;12548;2016-01-02;2016-01-06;376;The Gu camisa roja etiqueta XML camiseta (Blanco) 5XL;Northwind;Houston;29,76328;-95,36327;121;Paula;Camino;1978-12-08;México;455;Mapuma;México;4;128;71,28
24084;12548;2016-01-02;2016-01-06;404;The Gu camiseta roja etiqueta XML camiseta (Negro) 6XL;Northwind;Houston;29,76328;-95,36327;121;Paula;Camino;1978-12-08;México;455;Mapuma;México;6;192;119,22
24085;12550;2016-01-02;2016-01-05;608;Cinta de envío pesada negra y amarilla 48mmx75m;Empaca Todo;Tulsa;36,15398;-95,99277;127;Mohamed;Ali;1972-02-19;Estados Unidos;189;Reli Communications;Estados Unidos;4;52;35,16
24086;12550;2016-01-02;2016-01-05;512;Pack de 12 figuras de acción electrónicas (masculinas);Veluz;Lawrence;38,97167;-95,23525;127;Mohamed;Ali;1972-02-19;Estados Unidos;189;Reli Communications;Estados Unidos;5;1150;801,75
24087;12550;2016-01-02;2016-01-05;370;The Gu camiseta roja etiqueta XML camiseta (Blanco) XXL;Northwind;Houston;29,76328;-95,36327;127;Mohamed;Ali;1972-02-19;Estados Unidos;189;Reli Communications;Estados Unidos;9;288;173,25
24088;12551;2016-01-02;2016-01-05;416;Alien officer hoodie (negro) 4XL;Conexión TI;Omaha;41,25626;-95,94043;127;Mohamed;Ali;1972-02-19;Estados Unidos;215;Macman Brighton & Tunbridge Wells - The Mac Man Ltd;Estados Unidos;2;68;33,6
24089;12552;2016-01-02;2016-01-04;428;Chaqueta de acción de superhéroe (azul) XS;Northwind;Houston;29,76328;-95,36327;129;Glen;Forzet;1973-08-30;Estados Unidos;459;Jesus Mission;Estados Unidos;8;240;157,68
